Date,Open,Close,Low,High,Volumn
2015-08-28,86,89,86,89,10003
2015-08-31,86,85,85,86,2431
2015-09-01,87,87,85,87,2595
2015-09-02,85,87,85,87,9079
2015-09-03,85,87,85,87,13264
2015-09-04,86,85,85,86,387351
2015-09-07,85,84,84,85,5798
2015-09-08,84,85,84,85,4994
2015-09-09,85,85,85,86,871256
2015-09-10,85,85,85,85,9457
2015-09-11,85,84,84,85,42095
2015-09-14,85,86,84,86,71212
2015-09-15,84,84,83,84,2281
2015-09-16,83,85,83,85,3732
2015-09-17,85,85,84,85,46363
2015-09-18,85,86,85,86,3732
2015-09-21,85,83,83,85,3396
2015-09-22,84,85,83,85,3628
2015-09-23,85,84,84,85,1270
2015-09-25,84,86,84,87,718688
2015-09-28,84,83,83,84,4775
2015-09-29,83,86,83,86,4929
2015-09-30,82,82,82,82,61553
2015-10-01,83,83,83,84,306247
2015-10-02,83,83,83,86,230108
2015-10-05,83,82,81,83,36998
2015-10-06,82,82,82,82,6925
2015-10-07,84,81,81,84,6832
2015-10-08,81,81,81,82,2826
2015-10-09,81,81,80,81,4794
2015-10-12,80,80,80,81,8067
2015-10-13,80,80,80,80,2089
2015-10-14,80,79,78,80,16277
2015-10-15,78,79,77,79,20438
2015-10-16,79,77,77,79,9434
2015-10-19,78,78,77,79,39554
2015-10-20,78,78,78,78,6
2015-10-21,78,78,78,78,1115
2015-10-22,78,78,77,78,216311
2015-10-23,79,79,79,79,17850
2015-10-26,80,81,79,81,2489
2015-10-28,79,81,79,81,32977
2015-10-30,79,80,78,80,12856
2015-11-02,80,79,78,80,3616
2015-11-03,79,80,79,80,16696
2015-11-04,78,80,78,82,250348
2015-11-05,79,86,79,86,6672
2015-11-06,80,84,80,85,6230
2015-11-09,84,84,82,84,1693
2015-11-11,83,84,82,84,17520
2015-11-12,83,82,82,87,5961
2015-11-13,86,86,83,86,6560
2015-11-16,85,82,82,86,124840
2015-11-17,82,85,82,85,1087
2015-11-18,84,84,84,84,31
2015-11-19,82,85,82,85,54230
2015-11-20,82,85,82,85,2622
2015-11-23,82,84,82,85,22548
2015-11-24,82,82,82,82,238802
2015-11-26,82,82,82,82,211124
2015-11-27,82,82,82,82,613
2015-11-30,81,82,81,82,3110
2015-12-01,81,80,80,82,6324
2015-12-02,81,82,81,82,10470
2015-12-03,82,82,82,82,10750
2015-12-04,82,82,82,82,186636
2015-12-07,82,82,82,84,110281
2015-12-08,82,84,82,84,9050
2015-12-09,83,85,83,86,63912
2015-12-10,83,84,82,84,11953
2015-12-11,82,84,82,84,7697
2015-12-14,84,84,82,84,314066
2015-12-15,84,84,82,84,249220
2015-12-16,84,87,84,87,12440
2015-12-17,87,87,87,88,8708
2015-12-18,87,88,87,88,654805
2015-12-21,88,90,88,90,2977
2015-12-22,90,89,89,90,3120
2015-12-23,87,90,87,90,2183
2015-12-28,87,87,87,87,25995
2015-12-29,84,89,84,89,2434
2015-12-30,89,90,84,90,21794
2015-12-31,89,90,89,90,12078
